time, t_command, c_linear_x, c_linear_y, c_linear_z, c_angular_x, c_angular_y, c_angular_z, pos_x, pos_y, pos_z, ang_x, ang_y, ang_z
191.732, 1, 0.5, 0, 0, 0, 0, 0, -0.006128996766167637, 2.505483518016174, -1.7917840652081907e-05, -2.371843958450603e-07, 3.311532982710612e-09, -1.5831898811745455
193.632, 1, 0.5, 0, 0, 0, 0, 0, -0.012285204762222269, 2.008867316034034, -1.8467257344667587e-05, -1.6463835064601109e-07, 2.7019825989790385e-09, -1.5831902417510078
195.23, 1, 0.5, 0, 0, 0, 0, 0, -0.018455597292059162, 1.5112473638539698, -1.48048880544982e-05, -2.158390736265725e-07, 4.293438913526859e-09, -1.5831923262563552
197.031, 1, 0.5, 0, 0, 0, 0, 0, -0.02463697411752027, 1.0127554776375067, -1.3483352297422035e-05, -3.122129074518242e-08, -1.5934902392072885e-08, -1.5831947221184803
198.734, 1, 0.5, 0, 0, 0, 0, 0, -0.030824068285339054, 0.5137273577758025, -1.4479506715792123e-05, -3.0239430761482337e-07, -2.245149445969085e-08, -1.5831989672630697
200.233, 1, 0, 0, 0, 0, 0, -0.482135152485, -0.03114194748102313, 0.5119224911010429, -2.095957333012044e-05, 5.953312124167088e-05, -6.397982124608011e-09, -1.9015563940158087
201.847, 1, 0, 0, 0, 0, 0, -0.482135152485, -0.03206593994941431, 0.510194146120395, -1.5170311837120476e-05, 1.797805093464762e-05, -1.0240627186199896e-07, -2.225544823419096
203.466, 1, 0, 0, 0, 0, 0, -0.482135152485, -0.03350255783887167, 0.5088321648020597, -1.5151478468783397e-05, 1.77631647725836e-05, -7.594918924613005e-08, -2.543122736029533
205.047, 1, 0.5, 0, 0, 0, 0, 0, -0.44175778296477375, 0.23048197844010954, -1.009940911467222e-05, 3.933825251747311e-06, 3.9617262958346164e-07, -2.543212672315885
206.581, 1, 0.5, 0, 0, 0, 0, 0, -0.8567523833496632, -0.05249172153900083, -1.4517399003988185e-05, 1.8343538571714116e-05, -2.6056313858715943e-08, -2.5430607569164185
208.063, 1, 0.5, 0, 0, 0, 0, 0, -1.2656686026069386, -0.33137642818632423, -9.368431084372242e-06, 5.229486139344157e-07, 1.1026663245779691e-07, -2.542967476819919
209.364, 1, 0.5, 0, 0, 0, 0, 0, -1.6810507425480752, -0.6147589215014015, -9.29021181947376e-06, 1.9724446505646855e-08, 1.1475999099183219e-07, -2.542807132823373
210.681, 1, 0.5, 0, 0, 0, 0, 0, -2.094528300932684, -0.8969288518986217, -1.173296943596247e-05, 7.224705257342187e-06, 1.181447893997582e-07, -2.5426927876656404
212.081, 1, 0.5, 0, 0, 0, 0, 0, -2.507287239407465, -1.1786500934530004, -9.988192644527771e-06, 1.3166252006096591e-06, -1.1829419423912704e-08, -2.5426450358590236
213.497, 1, 0, 0, 0, 0, 0, 0.482135152485, -2.5072385481744623, -1.178526567855274, -8.429584635077925e-05, -0.0003883816570758176, 1.0881883764840831e-05, -2.1948923653821324
214.897, 1, 0, 0, 0, 0, 0, 0.482135152485, -2.508318306848412, -1.1804629663624329, -2.3029444098515706e-05, -6.985367770445382e-05, -2.2217931696730178e-07, -1.8716463254328386
216.897, 1, 0.5, 0, 0, 0, 0, 0, -2.6538102212299277, -1.654728239975294, -9.346968277618162e-06, -4.395248811136188e-07, 7.055045853730402e-08, -1.8685236714106581
218.714, 1, 0, 0, 0, 0, 0, 0.482135152485, -2.6551418335706223, -1.660135460455498, -1.491717245272195e-05, -2.0282929905967763e-05, -2.3970547513156604e-07, -1.5458957617804543
220.214, 1, 0.5, 0, 0, 0, 0, 0, -2.642876956452071, -2.1526167082067325, -9.464769943373641e-06, -8.814129310477508e-07, 5.0587703571407127e-08, -1.5459543277879721
221.414, 1, 0, 0, 0, 0, 0, 0.482135152485, -2.6423686414394933, -2.1606519701287104, -1.8503564259086946e-05, -4.188785298103522e-05, -9.4594949929491e-08, -1.2294335052959957
223.231, 1, 0, 0, 0, 0, 0, 0.482135152485, -2.64134957743587, -2.1625162521867707, -1.4587788613990016e-05, -1.9350910845790318e-05, -7.166232752610146e-08, -0.9068714751809883
224.733, 1, 0, 0, 0, 0, 0, 0.482135152485, -2.639799580544478, -2.1639430156111263, -1.4543577392445162e-05, -1.92603873279663e-05, -4.434808005987134e-08, -0.5878359079770596
226.731, 1, 0, 0, 0, 0, 0, 0.482135152485, -2.637873200589538, -2.164806409174447, -1.2598130509966499e-05, -1.027080940509299e-05, -1.7959892047750632e-07, -0.26835062817055777
228.352, 1, 0, 0, 0, 0, 0, 0.482135152485, -2.6356824192943122, -2.1650174615890205, -1.4351785893707003e-05, -1.980699206509217e-05, -3.622418760046551e-08, 0.06902069900968597
230.047, 1, 0, 0, 0, 0, 0, 0.482135152485, -2.634189334744957, -2.164668454522403, -1.0008115670367967e-05, 5.058943883591504e-07, -1.3979889590169983e-07, 0.4043900126545835
231.448, 1, 0, 0, 0, 0, 0, 0.482135152485, -2.6333798145158274, -2.1641543112367563, -9.92783600675673e-06, 1.6250854055855056e-06, -1.2538935722424838e-07, 0.7472286636756624
233.548, 1, 0, 0, 0, 0, 0, 0.482135152485, -2.6330090747237063, -2.163676381472557, -1.1296750151018609e-05, -3.6298192108944015e-06, -4.519955627099389e-08, 1.0941336914557125
