time, t_command, c_linear_x, c_linear_y, c_linear_z, c_angular_x, c_angular_y, c_angular_z
1603493725.24, 1, 0, 0, 0, 0, 0, 0, 
1603493773.73, 4, 0.05, 0, 0, 0, 0, 0, 
1603493793.78, 4, 0.05, 0, 0, 0, 0, 0, 
1603493798.78, 1, 0, 0, 0, 0, 0, 0, 
1603493800.94, 4, 0, 0, 0, 0, 0, 0.125, 
1603493814.96, 4, 0, 0, 0, 0, 0, 0.125, 
1603493860.48, 4, 0.05, 0, 0, 0, 0, 0, 
1603493869.58, 4, 0.05, 0, 0, 0, 0, 0, 
1603493905.38, 4, 0.05, 0, 0, 0, 0, 0, 
1603493912.46, 4, 0.05, 0, 0, 0, 0, 0, 
1603493935.52, 4, 0.05, 0, 0, 0, 0, 0, 
1603493943.24, 4, 0.05, 0, 0, 0, 0, 0, 
1603493963.5, 4, 0, 0, 0, 0, 0, 0.125, 
1603493968.77, 4, 0, 0, 0, 0, 0, 0.125, 
1603493981.8, 4, 0, 0, 0, 0, 0, -0.125, 
1603493996.13, 4, 0, 0, 0, 0, 0, -0.125, 
1603494008.16, 4, 0, 0, 0, 0, 0, -0.125, 
1603494015.66, 4, 0.05, 0, 0, 0, 0, 0, 
1603494024.38, 4, 0.05, 0, 0, 0, 0, 0, 
1603494038.32, 4, 0.05, 0, 0, 0, 0, 0, 
