time, t_command, c_linear_x, c_linear_y, c_linear_z, c_angular_x, c_angular_y, c_angular_z
1603494103.58, 1, 0, 0, 0, 0, 0, 0, 
1603494114.14, 4, 0, 0, 0, 0, 0, -0.125, 
1603494132.57, 4, 0.05, 0, 0, 0, 0, 0, 
1603494150.36, 4, 0.05, 0, 0, 0, 0, 0, 
1603494159.75, 4, 0.05, 0, 0, 0, 0, 0, 
1603494167.48, 4, 0, 0, 0, 0, 0, -0.125, 
1603494176.76, 4, 0.05, 0, 0, 0, 0, 0, 
1603494188.15, 4, 0, 0, 0, 0, 0, -0.125, 
1603494203.0, 4, 0.05, 0, 0, 0, 0, 0, 
1603494221.73, 4, 0.05, 0, 0, 0, 0, 0, 
1603494230.35, 4, 0, 0, 0, 0, 0, -0.125, 
1603494247.62, 4, 0, 0, 0, 0, 0, -0.125, 
1603494265.83, 4, 0, 0, 0, 0, 0, -0.125, 
1603494287.55, 4, 0.05, 0, 0, 0, 0, 0, 
1603494296.06, 4, 0.05, 0, 0, 0, 0, 0, 
1603494307.7, 4, 0.05, 0, 0, 0, 0, 0, 
1603494315.32, 4, 0, 0, 0, 0, 0, 0.125, 
1603494332.3, 4, 0, 0, 0, 0, 0, 0.125, 
1603494348.63, 4, 0.05, 0, 0, 0, 0, 0, 
