time, t_command, c_linear_x, c_linear_y, c_linear_z, c_angular_x, c_angular_y, c_angular_z
1603492622.34, 1, 0, 0, 0, 0, 0, 0, 
1603492632.41, 4, 0.05, 0, 0, 0, 0, 0, 
1603492642.59, 4, 0.05, 0, 0, 0, 0, 0, 
1603492653.37, 4, 0.05, 0, 0, 0, 0, 0, 
1603492665.05, 4, 0.05, 0, 0, 0, 0, 0, 
1603492682.34, 4, 0, 0, 0, 0, 0, 0.125, 
1603492713.55, 4, 0, 0, 0, 0, 0, 0.125, 
1603492729.69, 4, 0.05, 0, 0, 0, 0, 0, 
1603492740.95, 4, 0.05, 0, 0, 0, 0, 0, 
1603492759.15, 4, 0.05, 0, 0, 0, 0, 0, 
1603492788.43, 4, 0.05, 0, 0, 0, 0, 0, 
1603492815.18, 4, 0.05, 0, 0, 0, 0, 0, 
1603492831.07, 4, 0.05, 0, 0, 0, 0, 0, 
1603492855.6, 4, 0.05, 0, 0, 0, 0, 0, 
1603492896.58, 4, 0, 0, 0, 0, 0, -0.125, 
1603492905.68, 4, 0, 0, 0, 0, 0, -0.125, 
1603492928.15, 4, 0.05, 0, 0, 0, 0, 0, 
1603492938.96, 4, 0.05, 0, 0, 0, 0, 0, 
1603492949.74, 4, 0.05, 0, 0, 0, 0, 0, 
1603492960.56, 4, 0.05, 0, 0, 0, 0, 0, 
1603492977.64, 4, 0.05, 0, 0, 0, 0, 0, 
1603492993.16, 4, 0.05, 0, 0, 0, 0, 0, 
1603493013.32, 4, 0.05, 0, 0, 0, 0, 0, 
1603493024.19, 4, 0.05, 0, 0, 0, 0, 0, 
1603493033.5, 4, 0.05, 0, 0, 0, 0, 0, 
1603493048.3, 4, 0.05, 0, 0, 0, 0, 0, 
1603493065.12, 4, 0.05, 0, 0, 0, 0, 0, 
1603493075.99, 4, 0.05, 0, 0, 0, 0, 0, 
1603493091.36, 4, 0.05, 0, 0, 0, 0, 0, 
1603493113.89, 4, 0.05, 0, 0, 0, 0, 0, 
1603493127.55, 4, 0, 0, 0, 0, 0, -0.125, 
1603493137.78, 4, 0.05, 0, 0, 0, 0, 0, 
1603493171.43, 4, 0, 0, 0, 0, 0, -0.125, 
1603493185.43, 4, 0, 0, 0, 0, 0, -0.125, 
1603493216.16, 4, 0.05, 0, 0, 0, 0, 0, 
1603493238.28, 4, 0.05, 0, 0, 0, 0, 0, 
1603493249.36, 4, 0.05, 0, 0, 0, 0, 0, 
1603493262.98, 4, 0.05, 0, 0, 0, 0, 0, 
1603493271.52, 4, 0.05, 0, 0, 0, 0, 0, 
1603493331.68, 4, 0, 0, 0, 0, 0, -0.125, 
1603493345.45, 4, 0, 0, 0, 0, 0, -0.125, 
1603493354.27, 4, 0, 0, 0, 0, 0, -0.125, 
1603493364.46, 4, 0, 0, 0, 0, 0, -0.125, 
1603493376.62, 4, 0, 0, 0, 0, 0, 0.125, 
1603493383.7, 4, 0.05, 0, 0, 0, 0, 0, 
1603493392.3, 4, 0.05, 0, 0, 0, 0, 0, 
1603493405.54, 4, 0.05, 0, 0, 0, 0, 0, 
1603493440.83, 4, 0.05, 0, 0, 0, 0, 0, 
1603493456.53, 4, 0.05, 0, 0, 0, 0, 0, 
1603493463.6, 4, 0, 0, 0, 0, 0, -0.125, 
1603493474.52, 4, 0.05, 0, 0, 0, 0, 0, 
1603493491.16, 4, 0.05, 0, 0, 0, 0, 0, 
1603493497.67, 4, 0.05, 0, 0, 0, 0, 0, 
1603493510.59, 4, 0, 0, 0, 0, 0, 0.125, 
